"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"TX1120001",578,660,777,777,23.01,20.29,30.21,7.06,19.42,0.05,0.28,1.22,7.6,90.85,9.43,22.42,20.83,18.69,15.58,9.47,4.95,8.06,10.57,19.96,15.06,11.04,10.83,13.1,5.78,2.73,10.93,"keep"
"TX1120002",12616,13626,14710,15449,22.97,23.54,29.47,5.26,18.75,0.78,11.89,0.15,4.5,82.68,13.68,26.7,27.76,19.37,11.76,6.93,1.94,5.55,6.43,6.29,7.8,18.28,21.58,14.18,10.03,7.3,8.12,"keep"
"TX1120013",865,1007,1141,1107,26.87,21.96,28.95,3.82,18.4,1.56,4.25,0.06,13.96,80.17,25.22,22.72,27.87,16.39,12.41,3.51,6.79,10.3,5.35,21.21,7.66,12.3,16.93,9.45,7.13,10.87,9.09,"keep"
"TX1130001",7901,8266,8221,7755,21.19,17.61,28.69,7.95,24.56,0.46,21.35,0.07,7.22,70.9,12.26,45.2,32.82,11.32,6.37,1.64,1.15,1.5,4.04,7.34,11.13,17.37,18.18,14.51,14.03,3.2,10.21,"keep"
"TX1140001",23441,24809,26402,27282,22.58,27.77,33.29,4.38,11.99,0.68,6.28,1.33,9.31,82.4,46.23,24.41,23.85,20.32,14.62,7.43,3.57,5.81,2.95,1.8,4.24,5.19,16.98,20.75,31.48,8.95,7.67,"keep"
"TX1140002",4715,4404,4031,3700,23.65,16.43,34.05,5.44,20.42,0,0,0,5.17,94.83,29.47,23.98,27.38,18.26,11.31,4.77,9.67,4.63,4.3,9.63,9.63,14.16,13.7,24.01,19.48,2.94,2.15,"keep"
"TX1160001",1130,1237,1419,1587,29.16,20.65,33.6,4.4,12.18,0.61,1.24,0.82,5.94,91.39,14.13,16.02,23.94,16.55,20.77,12.5,6.69,3.52,5.46,9.67,13.42,26.52,16.54,9.98,10.14,0.31,7.96,"keep"
"TX1160002",730,852,858,872,23.59,14.39,36.76,6.03,19.23,0.02,1.74,0.52,6.48,91.23,13.87,29.57,21.95,24.09,12.2,6.4,1.52,4.27,2.91,4.6,23,12.35,19.85,16.95,7.51,3.87,8.96,"keep"
"TX1160003",6128,6921,7265,8240,18.47,44.91,24.25,2.93,9.44,5.39,22.76,4.62,7.58,59.66,11.62,46.12,22.11,11.09,9.65,2.28,4.31,4.44,2.19,8.33,16.67,12.55,12.88,16.17,12.17,4.61,14.42,"keep"
"TX1160004",21806,23318,25627,27600,23.33,22.46,30.76,6.02,17.43,1.05,10.58,1.11,11.81,75.45,16.54,26.17,26.9,18.75,12.6,4.98,3.65,6.95,2.82,10.15,12.79,19.35,19.21,16.87,12.3,2.01,4.51,"keep"
