"pwsid","year","unemploy_rate"
"CA1010004",1994,14.25
"CA1010004",1996,13.28
"CA1010004",1998,14.25
"CA1010004",2000,10.43
"CA1010004",2002,11.45
"CA1010004",2004,10.41
"CA1010004",2006,8.02
"CA1010004",2008,10.56
"CA1010004",2010,16.69
"CA1010004",2012,15.13
"CA1010004",2014,11.58
"CA1010004",2016,9.5
"CA1010004",2018,7.6
"CA1010004",2020,10.28
"CA1010004",2021,9.45
"CA1010005",1990,11.64
"CA1010005",1992,15.47
"CA1010005",1994,14.25
"CA1010005",1996,13.28
"CA1010005",1998,14.25
"CA1010005",2000,10.43
"CA1010005",2002,11.45
"CA1010005",2004,10.41
"CA1010005",2006,8.02
"CA1010005",2008,10.56
"CA1010005",2010,16.69
"CA1010005",2012,15.13
"CA1010005",2014,11.58
"CA1010005",2016,9.5
"CA1010005",2018,7.6
"CA1010005",2020,10.28
"CA1010005",2021,9.45
"CA1010007",1990,11.85
"CA1010007",1992,15.61
"CA1010007",1994,14.37
"CA1010007",1996,13.39
"CA1010007",1998,14.07
"CA1010007",2000,10.21
"CA1010007",2002,11.34
"CA1010007",2004,10.24
"CA1010007",2006,7.88
"CA1010007",2008,10.41
"CA1010007",2010,16.68
"CA1010007",2012,15.04
"CA1010007",2014,11.53
"CA1010007",2016,9.47
"CA1010007",2018,7.54
"CA1010007",2020,10.21
"CA1010007",2021,9.41
"CA1010018",1990,11.64
"CA1010018",1992,15.47
"CA1010018",1994,14.25
"CA1010018",1996,13.28
"CA1010018",1998,14.25
"CA1010018",2000,10.43
"CA1010018",2002,11.45
"CA1010018",2004,10.41
"CA1010018",2006,8.02
"CA1010018",2008,10.56
"CA1010018",2010,16.69
"CA1010018",2012,15.13
"CA1010018",2014,11.58
"CA1010018",2016,9.5
"CA1010018",2018,7.6
"CA1010018",2020,10.28
"CA1010018",2021,9.45
"CA1010019",1990,11.64
"CA1010019",1992,15.47
"CA1010019",1994,14.25
"CA1010019",1996,13.28
"CA1010019",1998,14.25
"CA1010019",2000,10.43
"CA1010019",2002,11.45
"CA1010019",2004,10.41
"CA1010019",2006,8.02
"CA1010019",2008,10.56
"CA1010019",2010,16.69
"CA1010019",2012,15.13
"CA1010019",2014,11.58
"CA1010019",2016,9.5
"CA1010019",2018,7.6
"CA1010019",2020,10.28
"CA1010019",2021,9.45
"CA1010029",1990,11.64
"CA1010029",1992,15.47
"CA1010029",1994,14.25
"CA1010029",1996,13.28
"CA1010029",1998,14.25
"CA1010029",2000,10.43
"CA1010029",2002,11.45
"CA1010029",2004,10.41
"CA1010029",2006,8.02
"CA1010029",2008,10.56
"CA1010029",2010,16.69
"CA1010029",2012,15.13
"CA1010029",2014,11.58
"CA1010029",2016,9.5
"CA1010029",2018,7.6
"CA1010029",2020,10.28
"CA1010029",2021,9.45
"CA1010035",1990,11.64
"CA1010035",1992,15.47
"CA1010035",1994,14.25
"CA1010035",1996,13.28
"CA1010035",1998,14.25
"CA1010035",2000,10.43
"CA1010035",2002,11.45
"CA1010035",2004,10.41
"CA1010035",2006,8.02
"CA1010035",2008,10.56
"CA1010035",2010,16.69
"CA1010035",2012,15.13
"CA1010035",2014,11.58
"CA1010035",2016,9.5
"CA1010035",2018,7.6
"CA1010035",2020,10.28
"CA1010035",2021,9.45
"CA1010042",1990,11.64
"CA1010042",1992,15.47
"CA1010042",1994,14.25
"CA1010042",1996,13.28
"CA1010042",1998,14.25
"CA1010042",2000,10.43
"CA1010042",2002,11.45
"CA1010042",2004,10.41
"CA1010042",2006,8.02
"CA1010042",2008,10.56
"CA1010042",2010,16.69
"CA1010042",2012,15.13
"CA1010042",2014,11.58
"CA1010042",2016,9.5
"CA1010042",2018,7.6
"CA1010042",2020,10.28
"CA1010042",2021,9.45
"CA1010044",1990,11.64
"CA1010044",1992,15.47
"CA1010044",1994,14.25
"CA1010044",1996,13.28
"CA1010044",1998,14.25
"CA1010044",2000,10.43
"CA1010044",2002,11.45
"CA1010044",2004,10.41
"CA1010044",2006,8.02
"CA1010044",2008,10.56
"CA1010044",2010,16.69
"CA1010044",2012,15.13
"CA1010044",2014,11.58
"CA1010044",2016,9.5
"CA1010044",2018,7.6
"CA1010044",2020,10.28
"CA1010044",2021,9.45
"CA1010049",1990,11.64
"CA1010049",1992,15.47
"CA1010049",1994,14.25
"CA1010049",1996,13.28
"CA1010049",1998,14.25
"CA1010049",2000,10.43
"CA1010049",2002,11.45
"CA1010049",2004,10.41
"CA1010049",2006,8.02
